Exercise,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Load Position (Ending),Continuous or Alternating Legs ,Foot Elevation,Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Primary Exercise Classification
Superband Lateral Step Hip Adduction,https://youtu.be/9Ryl38GZHiI,,Novice,Adductors,Adductor Magnus,,,Superband,1,None,0,Standing,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Unsorted*
Double Kettlebell Bottoms Up Front Rack Walking Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,2,None,0,Walking,Double Arm,Continuous,Bottoms Up,Front Rack,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Kettlebell Dead Clean to Horn Grip Squat,https://youtu.be/Xo9kEM4A6ao?si=RzutoHlEo0zoz1LZ,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,None,0,Standing,Double Arm,Continuous,Horn Grip,Front Rack,Continuous,No Elevation,Combo Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Ballistics
Double Kettlebell Bottoms Up Front Rack March,https://youtu.be/mLc2zI4rkMQ?si=bYMHmbsvqyX3__ZV,,Intermediate,Hip Flexors,Iliopsoas,Rectus Abdominis,Gluteus Medius,Kettlebell,2,None,0,March,Double Arm,Continuous,Bottoms Up,Front Rack,Alternating,No Elevation,Single Exercise,Locomotion,,,Sagittal Plane,,,Core,Other,Compound,Unilateral,Balance
Double Kettlebell Bottoms Up Overhead March,,,Intermediate,Hip Flexors,Iliopsoas,Rectus Abdominis,Gluteus Medius,Kettlebell,2,None,0,March,Double Arm,Continuous,Bottoms Up,Overhead,Alternating,No Elevation,Single Exercise,Locomotion,,,Sagittal Plane,,,Core,Other,Compound,Unilateral,Balance
Suspension Alternating Cossack Squat,https://youtu.be/ThQT_AIqcNU?si=Y06NKpeBBOkHRplH,https://youtu.be/_qJdwjBx-Wk,Beginner,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Suspension Trainer,1,None,0,Standing,Double Arm,Continuous,Neutral,No Load,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Battle Rope Single Leg Standing Alternating Wave,https://youtu.be/ynczWiOjUqE?si=TWU55ZzVAfcrcb5B,https://youtu.be/0nLraFkWqsU?si=WC8o5BRxz2YC7X5x,Intermediate,Biceps,Biceps Brachii,,,Battle Ropes,1,None,0,Single Leg Standing,Double Arm,Alternating,Neutral,Other,Continuous,No Elevation,Single Exercise,Unsorted*,,,Sagittal Plane,,,Upper Body,Other,Compound,Unilateral,Balance
Superband Assisted Dips,https://youtu.be/QjzY6vf495U?si=dG_1Ixlx0Man-AIC,https://youtu.be/a2zGgwyVv38,Novice,Triceps,Triceps Brachii ,Pectoralis Major,Anterior Deltoids,Superband,1,None,0,Other,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Battle Rope Isometric Split Squat Alternating Wave,,,Advanced,Biceps,Biceps Brachii,Quadriceps Femoris,,Battle Ropes,1,None,0,Isometric Split Squat,Double Arm,Alternating,Neutral,Other,Continuous,No Elevation,Single Exercise,Unsorted*,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,Balance
Alternating Single Arm Kettlebell Ballistic Row,https://youtu.be/ey7YgyPONOk,,Intermediate,Back,Latissimus Dorsi,Biceps Brachii,,Kettlebell,1,None,0,Standing,Single Arm,Alternating,Neutral,Other,Continuous,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Ballistics
Double Kettlebell Bottoms Up Overhead Press,https://youtu.be/Pt-6EI8mcEU?si=Lxresx17SBitLvtO,https://youtu.be/wfyvigcUtBw?feature=shared,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2,None,0,Standing,Double Arm,Continuous,Bottoms Up,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Unsorted*
Suspension Split Squat,https://youtu.be/sng5EOSZSSo,,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Suspension Trainer,1,None,0,Split Squat,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Tactical Clean,https://youtu.be/dLyfCN_7JHw,,Advanced,Glutes,Gluteus Maximus,,,Kettlebell,1,None,0,Standing,Single Arm,Alternating,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
Suspension Cyclist Squat,https://youtu.be/dzbJzUQjDYA?feature=shared,https://youtu.be/DVSstFJ0D4E?si=WaCS8KtdhuksBcCh,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Soleus,Suspension Trainer,1,Slant Board,1,Standing,Double Arm,Continuous,Neutral,No Load,Continuous,Heels Elevated,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding
Macebell 360,https://youtu.be/WMog8YuuVaM?si=WsH2sh1FFH3SBamT,,Intermediate,Shoulders,Posterior Deltoids,Rectus Abdominis,,Macebell,1,None,0,Standing,Double Arm,Continuous,Neutral,Behind Back,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Bilateral,Ballistics
Single Arm Suspension Contralateral Skater Squat,https://youtu.be/8pe73RwDAzY?si=ASSfIEGoxhWjeAi_,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Suspension Trainer,1,None,0,Single Leg Standing,Single Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Balance
Single Arm Macebell 360,https://youtu.be/ITUpuwk3odY?si=KGOrc3k9Flt-oF1v,,Intermediate,Shoulders,Posterior Deltoids,Rectus Abdominis,,Macebell,1,None,0,Standing,Single Arm,Continuous,Neutral,Behind Back,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Unilateral,Ballistics
Double Kettlebell Front Rack Pivot Split Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Kettlebell,2,None,0,Split Squat,Double Arm,Continuous,Neutral,Front Rack,Alternating,No Elevation,Single Exercise,Rotational,Knee Dominant,,Transverse Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Bottoms Up Front Rack Pivot Split Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Kettlebell,2,None,0,Split Squat,Double Arm,Continuous,Bottoms Up,Front Rack,Alternating,No Elevation,Single Exercise,Rotational,Knee Dominant,,Transverse Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Bottoms Up Overhead Pivot Split Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Kettlebell,2,None,0,Split Squat,Double Arm,Continuous,Bottoms Up,Overhead,Alternating,No Elevation,Single Exercise,Rotational,Knee Dominant,,Transverse Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Bodyweight Cyclist Squat,https://youtu.be/BAlXJ5lLMAA?si=H1cfMWF52YWOMraL,https://youtu.be/i7THl7npupE?si=HfmpXxeeggFxvNy7,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Soleus,Bodyweight,1,Slant Board,1,Standing,No Arms,Continuous,No Grip,No Load,Continuous,Heels Elevated,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding
Kettlebell Half Kneeling Rotational Swing,https://youtu.be/_ChDukjxUag,,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Kettlebell,1,None,0,Half Kneeling,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Unilateral,Ballistics
Double Kettlebell Clean to Push Jerk,https://youtu.be/_A6K7V6FHSM?si=uMrzYlHgGYbenNf1,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Gluteus Minimus,Kettlebell,2,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Combo Exercise,Hip Hinge,Vertical Push,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
Alternating Single Arm Kettlebell Clean to Push Jerk,,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,1,None,0,Standing,Single Arm,Alternating,Pronated,Overhead,Continuous,No Elevation,Combo Exercise,Hip Hinge,Vertical Push,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
Kettlebell Isometric Split Squat Low to High Chop,https://youtu.be/ECAIMMQDUC4?si=WgJIciK_Kd14WYVj,,Advanced,Abdominals,Obliques,Rectus Abdominis,,Kettlebell,1,None,0,Isometric Split Squat,Double Arm,Continuous,Bottoms Up Horn Grip,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Core,Other,Compound,Unilateral,Balance
Kettlebell Isometric Split Squat Alternating Halo,,,Advanced,Shoulders,Posterior Deltoids,Medial Deltoids,,Kettlebell,1,None,0,Isometric Split Squat,Double Arm,Continuous,Bottoms Up Horn Grip,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Pull,Compound,Unilateral,Balance
Double Kettlebell Front Rack March,https://youtu.be/aAbVFCqY4Ac,,Novice,Hip Flexors,Iliopsoas,Rectus Abdominis,Gluteus Medius,Kettlebell,2,None,0,March,Double Arm,Continuous,Neutral,Front Rack,Alternating,No Elevation,Single Exercise,Locomotion,,,Sagittal Plane,,,Core,Other,Compound,Unilateral,Balance
Double Kettlebell Suitcase March,https://youtu.be/i-q8SKGy--Q,,Novice,Hip Flexors,Iliopsoas,Rectus Abdominis,Gluteus Medius,Kettlebell,2,None,0,March,Double Arm,Continuous,Neutral,Suitcase,Alternating,No Elevation,Single Exercise,Locomotion,,,Sagittal Plane,,,Core,Other,Compound,Unilateral,Balance
Single Arm Kettlebell Rotational Half Snatch,https://youtu.be/KpDxyxOCjCE,https://youtu.be/PgAfycuKJyg?si=KlE9vGi_ZyvTd543,Advanced,Shoulders,Anterior Deltoids,Obliques,Gluteus Maximus,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
Double Kettlebell Dead Clean to Front Rack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2,None,0,Standing,Double Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Combo Exercise,Hip Hinge,Knee Dominant,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Ballistics
Double Kettlebell Front Rack Alternating Shin Box Hip Extension,,,Advanced,Glutes,Gluteus Maximus,,,Kettlebell,2,None,0,Shin Box Seated,Double Arm,Continuous,Neutral,Front Rack,Alternating,No Elevation,Single Exercise,Hip Extension,,,Transverse Plane,,,Lower Body,Unsorted*,Compound,Unilateral,Mobility
Double Kettlebell Overhead Alternating Shin Box Hip Extension,,,Advanced,Glutes,Gluteus Maximus,,,Kettlebell,2,None,0,Shin Box Seated,Double Arm,Continuous,Pronated,Overhead,Alternating,No Elevation,Single Exercise,Hip Extension,,,Transverse Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Mobility
Double Kettlebell Bottoms Up Turkish Get Up,,,Expert,Abdominals,Obliques,Rectus Abdominis,,Kettlebell,2,None,0,Supine,Double Arm,Continuous,Bottoms Up,Overhead,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,Sagittal Plane,,Full Body,Other,Compound,Bilateral,Grinds
Slider Single Leg Hamstring Curl,https://youtu.be/MBoaZQwukmw?si=uMFzO0l7TuqVArPp,,Advanced,Hamstrings,Biceps Femoris,Gluteus Maximus,,Sliders,1,None,0,Supine,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Pull,Isolation,Unilateral,Bodybuilding
Kettlebell Staggered Stance Rotational Swing,https://youtu.be/4SXAEL7ZdSk?feature=shared,,Intermediate,Abdominals,Obliques,Rectus Abdominis,Gluteus Maximus,Kettlebell,1,None,0,Staggered Stance,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Bilateral,Unsorted*
Single Arm Suspension Cyclist Squat,,https://youtu.be/wkgihbMp6BY?si=uztwb4emdctDZXbe,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Soleus,Suspension Trainer,1,Slant Board,1,Standing,Single Arm,Continuous,Neutral,No Load,Continuous,Heels Elevated,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding
Single Arm Kettlebell Suitcase Alternating Curtsy Lunge Pass Through,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Kettlebell,1,None,0,Standing,Single Arm,Alternating,Neutral,Suitcase,Alternating,No Elevation,Single Exercise,Knee Dominant,Anti-Lateral Flexion,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Low Bar Pause Back Squat,https://youtu.be/nknf16JJTZo?si=h2lVyRQ8npFOB0v4,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Hip Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Powerlifting
Barbell Front Rack Pause Squat,https://youtu.be/mN5Z5GH7ofM?si=5wK63ZJAw0Zc5Wti,https://youtu.be/nf9qHeNxEhY?si=z84jl_HDWRo7_5wD,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Olympic Weightlifting 
Barbell High Bar Pause Back Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Unsorted*
Barbell Overhead Pause Squat,,https://youtu.be/HoT_4eitb8U?si=dHvB6ZQgWXCqNV86,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Unsorted*
Single Arm Kettlebell Suitcase Walking Lunge Pass Through,https://youtu.be/yXwmVzRHPPw?si=K_LXsBOKmt9dza3B,https://youtu.be/tpJ09mGWZos?si=5J4AlnDrNYluauyX,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,1,None,0,Walking,Single Arm,Alternating,Neutral,Suitcase,Alternating,No Elevation,Single Exercise,Knee Dominant,Anti-Lateral Flexion,,Sagittal Plane,Frontal Plane,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Ring Hanging Knees to Wrists,,,Advanced,Abdominals,Rectus Abdominis,Iliopsoas,Rectus Femoris,Gymnastic Rings,2,None,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Core,Other,Compound,Bilateral,Calisthenics
Slider Suspension Lateral Lunge,,,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Suspension Trainer,1,Standing,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
Macebell 10 to 2 ,https://youtu.be/6FjCQJRBNlo?si=RBXNRNqOkwVOMCGq,,Intermediate,Shoulders,Posterior Deltoids,Rectus Abdominis,,Macebell,1,None,0,Standing,Double Arm,Continuous,Neutral,Behind Back,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Bilateral,Ballistics
Dumbbell Goblet Cyclist Squat,https://youtu.be/2WxpkosHXLg?si=kPBJD_6N8w568qJ-,https://youtu.be/TVM-zgy2eCo?si=cKrTYSxMj2TVwFj5,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Soleus,Dumbbell,1,Slant Board,1,Standing,Double Arm,Continuous,Goblet,Front Rack,Continuous,Heels Elevated,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding
Slider Barbell Front Rack Lateral Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Barbell,1,Standing,Double Arm,Continuous,Pronated,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
Slider Barbell Back Rack Lateral Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Barbell,1,Standing,Double Arm,Continuous,Pronated,Back Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
Barbell Overhead Alternating Cossack Squat,https://youtu.be/ulzoZOHicyU?si=OfrqYrKBRnV6RCrc,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Overhead Alternating Reverse Lunge,https://youtu.be/eqaz6nCxF8k?si=OEXiCUefeX011B_I,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Macebell Single Leg Standing Bent Knee Ballistic Curl,,,Intermediate,Biceps,Biceps Brachii,,,Macebell,1,None,0,Single Leg Standing Bent Knee,Double Arm,Alternating,Mixed Grip,Other,Continuous,No Elevation,Single Exercise,Unsorted*,,,Transverse Plane,,,Upper Body,Pull,Compound,Unilateral,Balance
Double Kettlebell Suitcase Carry,https://youtu.be/kaQWccrfY40,https://youtu.be/fxwrTkKUkTo?si=wWkdk6J_ZPbF6Ir3,Beginner,Forearms,Brachioradialis,,,Kettlebell,2,None,0,Walking,Double Arm,Continuous,Neutral,Suitcase,Alternating,No Elevation,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,Unsorted*
Single Arm Kettlebell Suitcase Carry,https://youtu.be/HNgMpdUEpgw,https://youtu.be/T9A607GaR2w,Beginner,Forearms,Brachioradialis,Obliques,,Kettlebell,1,None,0,Walking,Single Arm,Continuous,Neutral,Suitcase,Alternating,No Elevation,Single Exercise,Loaded Carry,Anti-Lateral Flexion,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,Unsorted*
Double Kettlebell Bottoms Up Front Rack Cossack Squat,https://youtu.be/hTNWWqL9oc8?si=cTXB5vGf2EIHhx3r,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,2,None,0,Standing,Double Arm,Continuous,Bottoms Up,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Alternating Single Arm Kettlebell Knee Hover Quadruped Pull Through,https://youtu.be/WQyNCzqNqso,,Intermediate,Abdominals,Rectus Abdominis,Obliques,,Kettlebell,1,None,0,Knee Hover Quadruped,Single Arm,Alternating,Pronated,Other,Continuous,No Elevation,Single Exercise,Anti-Extension,Anti-Rotational ,Isometric Hold,Sagittal Plane,Frontal Plane,,Core,Unsorted*,Compound,Unilateral,Unsorted*
Single Arm Kettlebell High Pull,https://youtu.be/mP1BHxBeAEM,https://youtu.be/KxWTo2LavJU,Intermediate,Shoulders,Posterior Deltoids,,,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Horizontal Pull,Hip Hinge,,Sagittal Plane,,,Full Body,Pull,Compound,Bilateral,Ballistics
Double Indian Club Outer Heart Shaped Swing,https://youtu.be/52D7xnpFFGY?si=UBcZ3G1BNtRbk97O,https://youtu.be/JB6fUPZENjk?si=9PxJ_yGmGMK_BCjA,Intermediate,Shoulders,Posterior Deltoids,,,Indian Club,2,None,0,Standing,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Unsorted*,,Bilateral,Mobility
Alternating Single Arm Kettlebell Thruster,,,Intermediate,Quadriceps,Quadriceps Femoris,Anterior Deltoids,,Kettlebell,1,None,0,Standing,Single Arm,Alternating,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,Vertical Push,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Suitcase Knee Over Toe Split Squat,,https://youtu.be/IJXzXAy4T24?si=DdfzxAdOIPYNJSOh,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Soleus,Kettlebell,2,None,0,Knee Over Toe Split Squat,Double Arm,Continuous,Neutral,Suitcase,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Sumo Deadlift to Push Up,,,Intermediate,Back,Latissimus Dorsi,Gluteus Maximus,Pectoralis Major,Kettlebell,2,None,0,Standing,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Combo Exercise,Knee Dominant,Horizontal Push,,Sagittal Plane,,,Full Body,Push & Pull,Compound,Bilateral,Bodybuilding
Alternating Single Arm Kettlebell Clean to Thruster,,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,Quadriceps Femoris,Kettlebell,1,None,0,Standing,Single Arm,Alternating,Neutral,Overhead,Continuous,No Elevation,Combo Exercise,Hip Hinge,Vertical Push,Knee Dominant,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Unsorted*
Suspension Alternating Curtsy Lunge,https://youtu.be/jNjDO9lEenw?si=Ci4DITj3193GY1tI,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Suspension Trainer,1,None,0,Standing,Double Arm,Continuous,Neutral,No Load,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Single Leg Balance Transfer,https://youtu.be/_uJQvQG57Y8,,Intermediate,Abdominals,Rectus Abdominis,Gluteus Medius,,Kettlebell,1,None,0,Single Leg Standing,Single Arm,Alternating,Neutral,Suitcase,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Full Body,Other,Compound,Unilateral,Balance
Barbell Front Rack Alternating Forward Lunge,https://youtu.be/whSju0ip_78?si=emNV0JUVUhF8Qrf1,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Front Rack,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Front Rack Alternating Reverse Lunge,https://youtu.be/dpBy5qAG2Hs?si=x6xfYJbZr1Bols2r,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Front Rack,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Overhead Alternating Forward Lunge,https://youtu.be/9eDpB8LJLgQ?si=CKsCerZuXFHay_Dr,https://youtu.be/KQTA7bNWAK0?feature=shared,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Macebell Alternating 360,,,Intermediate,Shoulders,Posterior Deltoids,Rectus Abdominis,,Macebell,1,None,0,Standing,Double Arm,Continuous,Neutral,Behind Back,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Bilateral,Ballistics
Clubbell Shield Cast,,https://youtu.be/oBdXsknqSEM?si=ZXY5RzE8pchalVjS,Intermediate,Shoulders,Posterior Deltoids,Rectus Abdominis,,Clubbell,1,None,0,Standing,Double Arm,Continuous,Neutral,Behind Back,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Bilateral,Ballistics
Single Arm Clubbell Shield Cast,https://youtu.be/W2slZ8Mmyvs?si=CDhf0Oi-nPW136Jx,https://youtu.be/LKNgPDX2wRk?si=1Rwdpndok-LHSvp4,Intermediate,Shoulders,Posterior Deltoids,Rectus Abdominis,,Clubbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Behind Back,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Unilateral,Ballistics
Macebell Barbarian Squat,https://youtu.be/Gj3ancpDFKU?si=TKfk3RmqTwztmb1j,,Novice,Quadriceps,Quadriceps Femoris,Posterior Deltoids,,Macebell,1,None,0,Standing,Double Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Full Body,Push & Pull,Compound,Bilateral,Unsorted*
Single Arm Macebell Barbarian Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Posterior Deltoids,,Macebell,1,None,0,Standing,Single Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Full Body,Push & Pull,Compound,Unilateral,Unsorted*
